Date,Region,Product ID,Product Name,Category,Supplier,Warehouse,Order Status,Units Sold,Inventory Level,Transportation Cost,Order Accuracy,Lead Time (Days),Backorder,Average Inventory,Warehouse Capacity,COGS
2025-08-02,West,P02121,Conference Table,Furniture,Supplier B,Warehouse 3,Fulfilled,515.0,884.0,13965.45,True,12.0,True,834.0,9758,12141.8
2026-04-13,North,P01587,Laptop,electronics,Supplier A,Warehouse 2,Fulfilled,963.0,960.0,2182.82,True,1.0,False,2338.0,8275,79226.87
2026-06-28,West,P02056,Jeans,Clothing,Supplier A,Warehouse 2,Pending,546.0,3832.0,6043.61,True,33.0,True,3637.0,9580,54352.31
2025-03-11,West,P02293,Jeans, Clothing ,Supplier D,Warehouse 3,Fulfilled,593.0,2453.0,1699.61,True,6.0,False,2137.0,5213,54401.0
2025-11-26,east,P06965,General Product,Accessories,Supplier C,Warehouse 1,Fulfilled,932.0,1074.0,10652.56,True,29.0,False,2611.0,7813,41523.88
2026-04-16,East,P05217,Office Chair,Furniture,Supplier B,Warehouse 3,Fulfilled,398.0,3544.0,6160.51,True,31.0,False,2689.0,9221,20248.02
2025-07-28,East,P03847,General Product,Accessories,Supplier A,Warehouse 3,Pending,467.0,1890.0,9742.95,True,2.0,False,3239.0,6048,37818.79
2026-02-02,North,P02970,Conference Table,Furniture,Supplier C,Warehouse 3,Pending,277.0,1248.0,5569.25,True,5.0,False,1325.0,9321,26095.94
2025-07-15,South,P03801,Bookshelf,Furniture,Supplier D,Warehouse 1,Fulfilled,577.0,4204.0,9162.65,True,9.0,True,2810.0,6641,51846.72
2026-01-27,North,P00718,Keyboard,Electronics,Supplier B,Warehouse 3,Fulfilled,223.0,333.0,9800.9,True,7.0,False,1335.0,6796,12785.91
2026-01-07,North,P06692,Conference Table,Furniture,Supplier C,Warehouse 2,Pending,1003.0,2043.0,4199.61,True,5.0,False,3518.0,7394,90810.28
2026-06-07,West,P06992,Monitor,Electronics,Supplier A,Warehouse 2,Fulfilled,802.0,5171.0,8740.24,True,14.0,False,5345.0,6350,55515.63
2026-08-07,West,P02968,Conference Table,Furniture,Supplier B,Warehouse 2,Fulfilled,467.0,4134.0,11169.48,False,1.0,True,4095.0,5762,52365.28
2025-01-29, North ,P00156,Jacket,Clothing,Supplier A,Warehouse 3,Fulfilled,230.0,1849.0,8432.42,True,3.0,False,2557.0,7407,12077.03
2025-11-03,East,P01943,Formal Shirt,Clothing,Supplier C,Warehouse 2,Fulfilled,758.0,1997.0,12656.81,True,22.0,False,1868.0,8477,90652.97
2026-05-28,West,P02808,Conference Table,Furniture,Supplier B,Warehouse 2,Pending,364.0,3857.0,11837.3,True,23.0,False,3062.0,5058,25515.35
2026-07-19,South,P03204,Bookshelf,Furniture,Supplier A,Warehouse 1,Pending,752.0,4135.0,13115.97,True,15.0,False,3619.0,9967,60354.57
2025-12-03,East,P08891,Smartphone,Electronics,Supplier A,Warehouse 1,Fulfilled,292.0,736.0,5611.76,True,3.0,False,2503.0,9383,12227.6
2025-11-28,North,P00250,T-Shirt,Clothing,Supplier A,Warehouse 1,Fulfilled,239.0,325.0,7505.48,True,6.0,False,1476.0,9049,14142.9
2025-10-15,South,P05067,Conference Table,Furniture,Supplier D,Warehouse 2,Fulfilled,133.0,869.0,503.69,True,33.0,False,1485.0,9416,7091.22
2025-10-14,North,P05718,Mouse,Electronics,Supplier C,Warehouse 2,Fulfilled,460.0,2569.0,9664.38,True,12.0,False,1544.0,5854,46137.19
2025-08-06,South,P02241,General Product,Accessories,Supplier B,Warehouse 3,Fulfilled,589.0,3163.0,2567.86,True,30.0,False,3713.0,9748,53806.88
2025-07-27,West,P02676,T-Shirt,Clothing,Supplier B,Warehouse 1,Canceled,617.0,1979.0,9240.35,True,28.0,False,2568.0,9698,24794.84
2025-01-15,North,P02197,Office Chair,Furniture,Supplier D,Warehouse 1,Fulfilled,225.0,3869.0,2554.16,True,15.0,False,3403.0,7893,13972.34
2025-08-21,West,P03411,Desk,Furniture,Supplier D,warehouse 1,Fulfilled,183.0,2255.0,9953.23,True,6.0,False,2204.0,6468,17615.59
2026-02-05,South,P00911,Jacket,Clothing,Supplier A,Warehouse 2,Fulfilled,651.0,1770.0,,True,12.0,False,1425.0,6044,69401.8
2025-06-07,East,P09300,Laptop,Electronics,Supplier A,Warehouse 1,Fulfilled,786.0,421.0,10762.62,True,22.0,False,2680.0,8284,45948.74
2026-01-13,South,P06625,T-Shirt,Clothing,Supplier C,Warehouse 3,Pending,1103.0,3556.0,2458.65,True,13.0,False,3676.0,9766,32080.22
2026-05-30,South,P07384,T-Shirt,Clothing,Supplier D,warehouse 3,Fulfilled,399.0,2607.0,8623.41,True,,False,1317.0,6244,25991.43
2025-01-10,South,P09485,Conference Table,Furniture,Supplier C,Warehouse 2,Fulfilled,816.0,4306.0,2077.29,True,13.0,False,2408.0,5103,45128.75
2026-05-25,West,P05511,Filing Cabinet,Furniture,supplier d,Warehouse 2,fulfilled,333.0,3749.0,14217.5,True,22.0,False,2565.0,8823,9581.64
2025-07-13,West,P01493,General Product,Accessories,Supplier D,Warehouse 2,Fulfilled,841.0,2119.0,7726.37,True,7.0,False,2686.0,8096,25825.34
2026-07-25, East ,P02265,Desk,Furniture,Supplier D,Warehouse 3,Fulfilled,165.0,963.0,6191.61,True,2.0,False,2750.0,9365,7881.95
2026-07-14,West,P09231,Keyboard,Electronics, Supplier A ,Warehouse 3,Fulfilled,196.0,1064.0,6491.73,True,17.0,False,689.0,7845,17808.8
2025-03-23,West,P07987,Formal Shirt,Clothing,Supplier D,Warehouse 1,Fulfilled,277.0,2233.0,2142.27,True,4.0,False,2833.0,7119,14274.45
2026-08-03,West,P09732,General Product,Accessories,Supplier B,Warehouse 3,Canceled,856.0,2361.0,12683.16,True,15.0,False,2363.0,6347,100722.79
2026-01-30,West,P07276,Tablet,Electronics,Supplier C,Warehouse 3,Fulfilled,583.0,4083.0,4973.27,True,6.0,False,2703.0,5411,21295.62
2025-07-20,North,P03746,Laptop,Electronics,Supplier B,Warehouse 1,Fulfilled,567.0,203.0,1958.07,True,23.0,False,2268.0,8241,21779.17
2026-05-24,East,P06927,General Product,Accessories,Supplier B,Warehouse 1,Fulfilled,164.0,1135.0,1240.46,False,17.0,False,1186.0,6930,13793.07
2025-09-25,North,P00945,Monitor,Electronics,Supplier A,Warehouse 2,Fulfilled,886.0,1108.0,2279.6,True,1.0,False,2207.0,8275,90620.67
2026-07-16,South,P01758,Jeans,Clothing,Supplier B, Warehouse 1 ,Fulfilled,813.0,227.0,520.34,True,20.0,False,1843.0,5181,75048.99
2025-05-17,North,P09981,Smartphone,Electronics,Supplier B,Warehouse 1,Fulfilled,445.0,197.0,2275.01,True,24.0,False,1789.0,8241,20093.23
2026-04-09,East,P01860,Desk,Furniture,Supplier B,Warehouse 2,Fulfilled,717.0,4103.0,10281.99,True,19.0,False,3427.0,8566,84022.14
2025-05-12,West,P01979,Conference Table,Furniture,Supplier D,Warehouse 2,Fulfilled,523.0,767.0,11346.65,True,17.0,False,1626.0,9419,34495.34
2026-04-09,East,P01056,Jeans,Clothing,Supplier D,Warehouse 1,Fulfilled,484.0,1033.0,9668.27,True,14.0,False,1716.0,5405,15407.34
2025-11-14,West,P02737,Monitor,Electronics,Supplier D,Warehouse 2,Fulfilled,655.0,3169.0,4877.2,True,4.0,False,1642.0,5349,35626.56
2025-09-22,East,P04724,General Product,Accessories,Supplier C,Warehouse 2,Fulfilled,881.0,4329.0,6887.28,True,12.0,False,3728.0,5701,27559.25
2025-07-06,North,P01693,Office Chair,Furniture,Supplier C,Warehouse 2,Fulfilled,513.0,129.0,4575.76,True,14.0,False,,6183,21452.64
2025-01-26,South,P08534,General Product,Accessories, Supplier D ,Warehouse 3, Fulfilled ,562.0,2197.0,7965.69,True,21.0,False,1550.0,7519,18264.98
2025-05-29,North,P04128,Jacket,Clothing,Supplier D,Warehouse 3,Fulfilled,640.0,3525.0,1717.93,True,11.0,False,3652.0,7059,56766.23
2026-06-20,North,P07127,Formal Shirt,Clothing,Supplier B,Warehouse 1,Pending,1074.0,3916.0,5223.35,True,21.0,False,2136.0,8546,40943.48
2026-02-09,North,P08552,Smartphone,Electronics,Supplier B,Warehouse 1,Pending,644.0,4447.0,9766.4,False,33.0,True,3812.0,5216,19774.04
2025-12-27,East,P02597,Monitor,Electronics,Supplier C,Warehouse 1,Fulfilled,389.0,2728.0,11249.11,True,17.0,False,2332.0,6719,12130.68
2026-04-01,East,P02626,Tablet,Electronics,Supplier C,Warehouse 2,Fulfilled,765.0,3699.0,907.05,True,29.0,False,2522.0,8913,35150.69
2025-03-06,South,P01131,Jacket,Clothing,Supplier B,Warehouse 1,Fulfilled,664.0,6172.0,3925.83,True,2.0,False,5535.0,7720,34504.39
2026-01-25,East,P06278,General Product,Accessories,Supplier C,Warehouse 1,Fulfilled,963.0,5104.0,6757.36,True,11.0,False,2933.0,6400,81679.12
2025-09-28,North,P01763,Mouse,electronics,Supplier C,Warehouse 3,Fulfilled,553.0,3579.0,593.31,True,14.0,False,3106.0,6338,62289.14
2025-01-14,South,P03534,Smartphone,Electronics,Supplier B,Warehouse 3,Canceled,616.0,4063.0,10185.93,True,15.0,False,4143.0,6110,60021.93
2026-07-25,South,P08889,General Product,Accessories,Supplier C,Warehouse 2,Pending,237.0,3338.0,2929.86,True,2.0,False,2066.0,6030,6312.89
2026-04-07,North,P00907,Laptop,Electronics,Supplier D,Warehouse 2,Fulfilled,220.0,1997.0,7593.08,False,19.0,False,1811.0,6782,20503.36
2026-02-09,South,P07469,Jeans,Clothing,Supplier C,Warehouse 2,Fulfilled,714.0,3441.0,3795.98,True,32.0,True,2280.0,6415,52687.92
2025-05-25,North,P05595,Laptop,Electronics,Supplier B,Warehouse 1,Pending,630.0,5147.0,9056.75,False,31.0,True,4793.0,5314,23971.54
2025-10-03,West,P07887,Jeans,Clothing,Supplier D,Warehouse 1,Fulfilled,594.0,,8304.09,True,26.0,False,2732.0,5191,53779.12
2026-08-07,East,P04083,T-Shirt, Clothing ,Supplier B,Warehouse 1,Fulfilled,928.0,2481.0,8100.24,True,20.0,False,1917.0,8138,108664.76
2026-01-15,North,P07193,Formal Shirt,Clothing,Supplier D,Warehouse 2,Fulfilled,453.0,1156.0,11925.08,True,24.0,False,1342.0,6053,46524.52
2026-02-27,South,P06786,Laptop,Electronics,Supplier C,Warehouse 1,Canceled,320.0,3477.0,15558.81,True,17.0,True,4860.0,7785,17130.99
2025-11-23,West,P02883,Tablet,Electronics,Supplier A,Warehouse 3,Fulfilled,864.0,808.0,13255.91,True,26.0,False,1280.0,5171,43569.6
2025-09-22,West,P06120,Tablet,Electronics,Supplier C,Warehouse 1,Fulfilled,921.0,2211.0,5562.89,True,20.0,True,1851.0,8292,85360.1
2025-09-08,West,P08442,Office Chair,Furniture,Supplier C,Warehouse 2,Fulfilled,558.0,1588.0,1476.15,True,20.0,False,1519.0,5782,49616.28
2025-08-02,West,P01066,Desk,Furniture,Supplier D,Warehouse 2,Fulfilled,285.0,4288.0,7185.43,True,19.0,False,4905.0,6855,21949.23
2026-03-15,South,P00861,Office Chair,Furniture,Supplier D,Warehouse 1,fulfilled,730.0,1117.0,5821.06,False,21.0,False,2452.0,6751,59211.96
2025-03-03,South,P02622,Monitor,Electronics,Supplier B,Warehouse 3,Pending,411.0,1022.0,7906.49,True,8.0,False,2252.0,6883,24729.87
2025-02-12,West,P08004,Jacket,Clothing,Supplier A,Warehouse 2,Fulfilled,685.0,1969.0,7268.3,True,11.0,False,2463.0,5066,39880.33
2026-01-28,East,P07624,Jacket, Clothing ,Supplier D,Warehouse 3,Canceled,709.0,3964.0,15639.22,True,11.0,True,2796.0,6156,78038.87
2025-10-06,South,P09671,Bookshelf,Furniture,Supplier B,Warehouse 3,Fulfilled,881.0,4375.0,3930.62,True,9.0,False,2777.0,9925,42856.61
2025-10-30,East,P00778,Smartphone,Electronics,Supplier B,Warehouse 1,Fulfilled,717.0,1606.0,15274.03,True,14.0,False,1110.0,7143,55375.07
2025-10-03,West,P04273,General Product,Accessories,Supplier C,Warehouse 3,Fulfilled,269.0,2682.0,11867.18,True,1.0,False,2092.0,9833,10199.66
2025-04-25,North,P03455,Jeans,Clothing,Supplier B,Warehouse 1,Fulfilled,936.0,822.0,703.26,True,9.0,False,2142.0,8169,54687.44
2026-01-17,north,P06390,General Product,Accessories,Supplier D,Warehouse 3,Fulfilled,372.0,2565.0,5992.65,True,25.0,False,3796.0,7687,25270.38
2026-08-18,West,P09426,Office Chair,Furniture,Supplier B,Warehouse 2,Fulfilled,962.0,2992.0,7445.36,False,2.0,False,1932.0,9773,84644.37
2025-03-10,West,P04084,Office Chair,Furniture,supplier a,Warehouse 1,Pending,431.0,1494.0,5077.78,True,10.0,False,1820.0,5604,38751.07
2026-05-11,West,P06193,Office Chair,Furniture,Supplier B,Warehouse 2,Pending,943.0,2841.0,9509.75,True,16.0,False,3021.0,9887,84882.95
2025-01-21,East,P02592,Laptop,Electronics,Supplier A,Warehouse 3,Fulfilled,839.0,2556.0,4672.71,True,14.0,False,1847.0,5995,76475.74
2026-01-26,East,P06310,Laptop,Electronics,Supplier A,Warehouse 1,Fulfilled,863.0,366.0,9862.57,True,22.0,False,2747.0,8284,66661.63
2025-08-31,South,P06089,General Product,Accessories,Supplier A,Warehouse 3,Canceled,907.0,3600.0,5950.83,True,17.0,False,2360.0,7334,93989.73
2025-01-13,East,P03591,Sneakers,Clothing,Supplier B,Warehouse 2,Pending,227.0,4475.0,1501.48,True,7.0,False,2604.0,8971,15859.78
2026-03-06,North,P06373,General Product,Accessories,Supplier B,Warehouse 2,Fulfilled,106.0,1400.0,2506.96,True,16.0,False,2705.0,5246,6343.53
2025-06-25,South,P07044,T-Shirt,Clothing,Supplier A,Warehouse 3,Fulfilled,920.0,1672.0,15911.61,True,8.0,False,1841.0,7157,81652.85
2025-04-23,West,P08269,Desk,Furniture,Supplier B,Warehouse 1,Fulfilled,307.0,2938.0,15212.19,True,17.0,False,3088.0,7450,36467.45
2025-08-06,West,P06218,Mouse,Electronics,Supplier A,Warehouse 2,fulfilled,1156.0,989.0,8600.42,True,6.0,False,768.0,8128,78277.5
2025-06-04,South,P06527,Smartphone,Electronics,supplier c,Warehouse 3,Fulfilled,109.0,5255.0,7040.52,True,,False,2425.0,7436,11711.67
2025-03-17,West,P04553,Laptop,Electronics,Supplier B,Warehouse 3,Fulfilled,632.0,2110.0,10167.96,True,7.0,False,1197.0,8302,43526.21
2026-02-07,West,P01495,Bookshelf,Furniture,Supplier A,Warehouse 1,Fulfilled,388.0,3247.0,5399.21,True,29.0,False,4297.0,6859,20909.8
2025-02-26,North,P02958,General Product,Accessories,Supplier A,Warehouse 1,Fulfilled,326.0,1739.0,1249.61,True,8.0,False,1969.0,5037,25935.83
2026/02/02,East,P08575,Formal Shirt,Clothing,Supplier B,Warehouse 1,Fulfilled,678.0,4185.0,8586.36,False,21.0,False,2741.0,9288,59135.93
2025-03-24,North,P02781,Jeans,Clothing,Supplier D,Warehouse 3,Fulfilled,149.0,2751.0,12664.71,True,25.0,False,3291.0,7155,13847.69
2026-01-24,east,P07248,Sneakers,Clothing,Supplier A,Warehouse 3,Fulfilled,998.0,1072.0,2202.89,True,5.0,False,1979.0,8370,78456.54
2025-05-24,West,P09569,Keyboard,Electronics,Supplier B,Warehouse 3,Pending,552.0,1557.0,1814.2,True,17.0,False,2511.0,9058,21327.63
2026-03-11,East,P01545,Bookshelf,Furniture,supplier d,Warehouse 1,Fulfilled,850.0,2784.0,10905.79,True,23.0,False,2486.0,8659,52971.53
2025-10-24,east,P09158,Tablet,Electronics,Supplier A,Warehouse 3,Fulfilled,700.0,3674.0,5030.42,True,14.0,False,2237.0,5995,35241.1
2026-06-22,East,P04641,General Product,Accessories,Supplier C,Warehouse 1,Fulfilled,1036.0,2193.0,11776.82,True,26.0,False,1125.0,5528,71614.37
2026-08-28,South,P06912,General Product,Accessories,Supplier C,Warehouse 2,Pending,357.0,2894.0,4470.7,True,34.0,True,3554.0,5743,10096.07
2026-08-08,East,P01233,Sneakers,Clothing,Supplier C,Warehouse 3,Canceled,1231.0,1129.0,13016.22,False,14.0,False,3080.0,5711,109281.9
2025-09-11,East,P02948,T-Shirt,Clothing,Supplier C,Warehouse 1,Fulfilled,541.0,2441.0,1823.6,True,6.0,False,3575.0,8663,17372.19
2025-08-02,South,P04234,General Product,Accessories,Supplier D,Warehouse 1,Fulfilled,634.0,2543.0,6515.39,True,17.0,False,1223.0,8696,47550.8
2025-01-28,South,P09085,Smartphone,Electronics,Supplier B,Warehouse 1,Fulfilled,785.0,837.0,11173.73,True,20.0,False,1963.0,7522,69395.37
2025-06-28,North,P09326,Sneakers,Clothing,Supplier B,Warehouse 1,Fulfilled,1103.0,3485.0,8767.34,False,7.0,False,2266.0,5926,66996.5
2026-07-22,South,P05969,General Product,Accessories,Supplier C,Warehouse 2,Pending,160.0,3305.0,3136.92,True,2.0,False,2468.0,6030,4756.94
2025-01-31,North,P08070,Desk,Furniture,Supplier C,Warehouse 3,Pending,325.0,1348.0,5244.34,True,7.0,False,1182.0,9321,19001.14
2025-02-07,East,P08960,General Product,accessories,Supplier A,Warehouse 2,Pending,141.0,808.0,4643.78,True,5.0,False,1546.0,6436,3601.4
2025-11-29,West,P01145,General Product,Accessories,Supplier A,Warehouse 2,Fulfilled,92.0,2619.0,8552.3,True,18.0,False,2683.0,9958,9141.27
2025-11-01,North,P00464,Jeans,Clothing,Supplier B,Warehouse 1,Fulfilled,299.0,4700.0,15794.09,True,28.0,False,1906.0,9666,22647.47
2026-05-16,west,P00723,Desk,Furniture,Supplier A,Warehouse 3,Pending,145.0,3953.0,5216.14,False,26.0,False,3630.0,8868,16829.46
2026-02-01,East,P04810,Jacket,Clothing,Supplier A,Warehouse 1,Fulfilled,503.0,4480.0,13138.32,True,10.0,False,2796.0,5756,36507.01
2025-01-18,West,P05097,Tablet,Electronics,Supplier C,Warehouse 1,Canceled,398.0,1196.0,9258.7,True,24.0,False,2351.0,5659,12276.28
2025-01-07,South,P02162,General Product,Accessories,Supplier A,Warehouse 3,Pending,584.0,3176.0,2879.69,True,3.0,False,2538.0,5064,12430.9
2025-05-26,east,P09390,Office Chair,Furniture,supplier d, Warehouse 1 ,Fulfilled,701.0,2054.0,13096.76,True,25.0,True,1314.0,8444,40617.62
2026-04-24,North,P03488,General Product,accessories,Supplier B,Warehouse 2,Fulfilled,45.0,1891.0,1400.32,True,8.0,False,2454.0,5346,2217.46
2025-05-10,North,P09265,Filing Cabinet, Furniture ,Supplier B,Warehouse 3,Pending,249.0,3687.0,15024.12,True,6.0,False,3330.0,5286,28919.16
2025-06-05,North,P06677,Sneakers,Clothing,Supplier C,Warehouse 3,Fulfilled,652.0,2598.0,7224.97,True,14.0,False,2286.0,8008,59453.86
2026-02-24,South,P02184,Office Chair,Furniture,Supplier A,Warehouse 1,Pending,86.0,3566.0,14030.07,True,28.0,False,1715.0,9665,7600.42
2025-01-28,north,P05284,Office Chair,furniture, Supplier C ,Warehouse 1,Canceled,434.0,3921.0,11580.78,False,28.0,False,2100.0,7743,
2026-01-20,East,P03303,General Product,Accessories,Supplier A,Warehouse 3,Pending,538.0,2856.0,9505.68,True,2.0,False,2654.0,6048,40831.56
2025-12-29,South,P09499,General Product,Accessories,Supplier D,,Fulfilled,415.0,855.0,11629.07,True,15.0,False,583.0,6244,29451.41
2025-02-05,North,P05309,Desk,Furniture,Supplier C,Warehouse 3,Pending,416.0,4846.0,7589.02,True,22.0,False,2009.0,7430,39821.03
2026-03-12,East,P03999,T-Shirt,Clothing,Supplier D,Warehouse 2,Fulfilled,631.0,2359.0,12417.63,True,17.0,False,2887.0,9987,70472.29
2026-01-19,West,P00901,Jacket,Clothing,Supplier C,Warehouse 3,Fulfilled,610.0,1011.0,13007.89,True,8.0,False,1175.0,9727,19576.08
2026-01-16,South,P06597,General Product,Accessories,Supplier B,Warehouse 3,Fulfilled,679.0,3148.0,12714.78,True,6.0,False,4411.0,9675,50668.72
2025-08-10,West,P05939,Sneakers,Clothing,Supplier D, Warehouse 1 ,Fulfilled,537.0,5032.0,14086.42,True,10.0,False,4359.0,5205,14926.63
2026-05-02,East,P03842,Office Chair,Furniture,,Warehouse 2, Fulfilled ,367.0,1011.0,11152.17,True,2.0,False,1357.0,8659,10121.63
2025-10-10,West,P06502,Monitor,Electronics,Supplier A,Warehouse 3,Fulfilled,224.0,2801.0,9041.96,,34.0,False,1706.0,8621,11767.71
2025-03-30,South,P08723,Filing Cabinet,Furniture,Supplier A,Warehouse 3,Pending,905.0,1423.0,13034.4,True,10.0,False,613.0,5612,94917.46
2025-04-08,South,P05080,General Product,Accessories,Supplier D,Warehouse 2,Fulfilled,1163.0,1220.0,578.58,True,23.0,False,2790.0,9336,137259.3
2025-05-02,East,P02535,Mouse,Electronics,Supplier C, Warehouse 3 ,Fulfilled,209.0,2380.0,5111.68,True,2.0,False,1711.0,8585,19723.81
2026-03-22,West,P04388,Jacket,Clothing,Supplier A,Warehouse 2,Fulfilled,751.0,1579.0,6848.86,True,12.0,False,3038.0,5066,50397.77
2026-02-13,South,P02461,T-Shirt,Clothing,Supplier C,Warehouse 2,Fulfilled,238.0,2517.0,4354.22,True,9.0,False,2456.0,6076,5903.9
2026-02-27,South,P05617,Formal Shirt,Clothing,Supplier A,Warehouse 2,Fulfilled,565.0,1103.0,10179.78,True,10.0,False,1474.0,6044,44357.99
2026-04-08,west,P09334,Smartphone,Electronics,Supplier C,Warehouse 1,Pending,861.0,2870.0,1044.14,True,25.0,False,2834.0,6795,53661.3
2025-10-24,West,P04922,Formal Shirt,Clothing,Supplier D,Warehouse 3,Fulfilled,510.0,2771.0,6580.66,True,21.0,False,1293.0,9326,44234.12
2025-02-22,East,P08366,Tablet,Electronics,Supplier C,Warehouse 3,Fulfilled,307.0,1613.0,,True,2.0,False,1696.0,8585,12882.56
2025-08-15,West,P07387,Office Chair,Furniture,Supplier A,Warehouse 2,Pending,914.0,249.0,6612.92,True,2.0,False,266.0,8465,80371.08
2025-04-09,East,P08857,Sneakers,Clothing,Supplier B,Warehouse 3,Pending,423.0,3743.0,3730.35,True,6.0,True,3251.0,6004,16654.14
2026-01-28,North,P03251,Office Chair,Furniture,Supplier C,Warehouse 2,Pending,86.0,5116.0,7169.49,True,14.0,False,3208.0,6806,3894.25
2025-03-21,South,P02813,Mouse,Electronics,Supplier C,Warehouse 2,Fulfilled,708.0,584.0,5540.69,True,10.0,False,762.0,8347,24822.49
2026-08-17,,P06554,Formal Shirt,Clothing,Supplier B,Warehouse 1,Pending,832.0,3676.0,5310.14,True,16.0,False,2526.0,8546,79700.66
2025-07-22,East,P05602,Mouse,Electronics,Supplier A,warehouse 2,Pending,715.0,2721.0,7023.12,True,1.0,False,2524.0,5540,74032.32
11-13-2025,South,P03809,T-Shirt,Clothing,Supplier A,Warehouse 2,Fulfilled,712.0,1167.0,11007.16,True,11.0,False,1461.0,6044,53298.84
2025-09-03,South,P08023,General Product,accessories,Supplier C,Warehouse 3,Pending,439.0,1899.0,9535.62,True,33.0,False,1032.0,9934,30841.87
2025-11-23,East,P07528,Jacket,Clothing,Supplier D,Warehouse 2,Fulfilled,466.0,2791.0,5466.65,True,19.0,False,2035.0,8256,14300.28
2026-01-22,North,P09180,General Product,Accessories,Supplier D,Warehouse 1,Fulfilled,350.0,843.0,10669.34,True,13.0,False,1601.0,9193,10453.85
